primary_stud_code,company_name,parent_company,address,city,state,zip,phone_fax,assigned,notes
326,TransOva Genetics,,855 West Hawkeye Avenue,Turlock,CA,95380,712.722.3596,Assigned 08/16/2019,
327,"Inguran, LLC dba Sexing Technologies-Watertown",STgenetics,N8350 High Road,Watertown,WI,53094,936.870.3960,Assigned 11/22/2019,
328,Trans Ova Genetics,,7441 Sharpburg Pike,Boonsboro,MD,21713,866.774.3162,Assigned 01/13/2020,
329,Premier Genetics,,23265 Poorboy Road,Warsaw,MO,65355,660.438.2188,Assigned 02/06/2020,Formerly known as B3 Genetix
330,Limper Congelaciones Profesionales SA. CV.,,27 de Septiembre M7-L18 Col. Independencia.,Queretaro,QRO,MEXICO,524422379248,Assigned 02/24/2020,
331,Faragen,,"Unit 19, 4th Floor, B Block Number 16, Karimi Avenue, Namaz Blvd. Standard Sq.",Karaj,Albroz 3173676457,IRAN,982636779572,Assigned 08/05/2020; End Date 01/01/2022,
332,Genex Brasil LTDA,Genex,"Rua Haroldo Fleming Da Lavra, 21",Itanhandu,MG 37464000,BRAZIL,551633623888,Assigned 10/13/2020,
333,"Griswold Genetics, LLC",,9313 East 6th Avenue,Stillwater,OK,74074,405.372.3300,Assigned 02/19/2021;End Date 01/01/2022,
334,Kalagen Agro Ind. Co.,,Jalilabad Pishva,Tehran,Tehran 3386148099,IRAN,982136743686,Assigned 05/25/2021,
335,Vigogen S.A.de C.V.,,Corr. Pobellon de Hidalgo Km 1,Rincon de Romos,Aguoscalientes 20437,MEXICO,449 106 48 78,Assigned 09/16/2021,
336,"Intergen Rus, LLC",,Yagodnaya str. 3Aa,"Polessky district, Near Village",Kalinlingrad Region 238642,RUSSIA,7 906 216 3900,Assigned 11/19/2021,
337,Inguran LLC dba Sexing Technologies-Huntley,STgenetics,10 West Arrow Creek Road,Huntley,MT,59037,,Assigned 10/26/2020,
338,"Inguran, LLC dba STgenetics-Kaliningrad",STgenetics,Yagodnaya str. 3Aa,"Polessky district, Near Village",Kalinlingrad Region 238642,RUSSIA,,Assigned 12/21/2021,
339,Sexing Technologies-Spain,STgenetics,Fantao Experante,Lugo,27210,SPAIN,34 982 284 391,Assigned 02/17/2022,
340,"Inguran, LLC dba STgenetics-Marion",STgenetics,27664 444th Avenue,Marion,SD,57043,605.925.7473,Assigned 03/14/2022,
341,"Membrane Protective Technologies, Inc.",,5123 East County Road 52,Fort Collins,CO,80524,970.484.9842,Assigned 05/03/2022,
342,"Red Hills Animal Reproductive Specialties, LLC",,138 Greenleaf Lane,Thomasville,GA,31757,229.355.2022,Assigned 05/03/2022,
343,"Inguran, LLC dba STgenetics-Saint-Germain-de-Grantham",STgenetics,162 chemin Yamaska,Saint-Chermain-de-Grantham,QC,J0C 1K0 CANADA,936.870.3960,Assigned 05/04/2022,
344,"Inguran, LLC dba STgenetics-Awahuri",STgenetics,"15 Palmerston Street, RD6",Awahuri,,4476 NEW ZEALAND,,Assigned 06/27/2022,
345,"Bullnanza Stud Services, LLC",,226 CR 118,Sweetwater,TX,79556,361.876.5886,Assigned 08/01/2022,
346,Flying Cow Genetics,,429746 East 70 Road,Welch,OK,74369,918.929.3178,Assigned 10/11/2022,
347,"Inguran, LLC dba Sexing Technologies-Indaiatuba",STgenetics,"Estrada Joao Ceccon, 4001",Indaiatuba,Sao Paulo,13331-400 BRAZIL,55 19 3801-1238,Assigned 11/04/2022,
348,"H-II Livestock Services, LLC",,35504 S 4415 Road,Big Cabion,OK,574332,580.254.1876,Assigned 11/22/2022,
354,Hawkeye Breeders North,Hawkeye Breeders,W1096 State Road 92,Brooklyn,WI,53521,515.993.4711; Fax:515.993.4176,Assigned 06/02/2017,
500,Southern Idaho Reproductive Enterprises (S.I.R.E),,1868 South 1850 East,Gooding,ID,83314,208.308.4080,Assigned 09/28/2005; End Date 05/21/2009,
501,GENEX Cooperative/CRI,Genex,100 MBC Drive/P.O. Box 469,Shawano,WI,54166,"715.526.2141, Fax:715.526.3219",Assigned 12/07/2005,Designated for Sexed Semen
502,GENEX Cooperative/CRI,Genex,100 MBC Drive/P.O. Box 469,Shawano,WI,54166,"715.526.2141, Fax:715.526.3219",Assigned 12/07/2005,
503,"Consultor Lechero Venta y Servicios, Inc.",,20500 Rookery Drive,Estero,FL,33928,"239.495.9227, Fax:239.494.8600",Assigned 01/03/2006; End Date 01/14/2019,
504,"Global Genetic Resources, LLC",,517 Main Street,Downing,WI,54734,"715.265.4285, Fax:715.265.4281",Assigned 01/19/2007; End Date 06/18/2021,
505,Robert Bignami-Brentwood Farms,,24540 Clark Avenue,Orland,CA,95963,"530.865.5612, Fax:530.865.3001",Assigned 04/04/2007,
506,"Global Ag Alliance, Inc.","Global Ag Alliance, Inc.",P.O. Box 6695,Visalia,CA,93290,559.730.6629,Assigned 08/08/2007,Formerly Sierra Desert Breeders
507,"Select Sires, Inc.",Select Sires,11740 U.S. 42 North,Plain City,OH,43064,"614.873.4683, Fax:614.873.6073",Assigned 01/03/2006,Designated for Sexed Semen
508,El Toro Genetics-Bill Hillier,,41925 Yorba Avenue,Temecula,CA,92592,"951.333.1260, Fax:951.699.8701",Assigned 04/10/2007; End Date 02/11/2013,
509,"Select Sires, Inc.",Select Sires,11740 U.S. 42 North,Plain City,OH,43064,"614.873.4683, Fax:614.873.6073",Assigned 01/03/2006,Designated for Sexed Semen
510,"JLG Enterprises, Inc.",JLG Enterprises,11116 Sierra Road,Oakdale,CA,95361,"209.847.4797, Fax:209.847.5874",Assigned 05/01/2018,Designated for Sexed Semen; Formerly assigned to Wilonna Sires
511,"Alta Genetics USA, Inc.",Alta Genetics,"P.O. Box 437, N8452 Airport Road",Watertown,WI,53094,"920.206.4532, Fax:920.262.8022",Assigned 10/05/2005,Designated for Sexed Semen
512,Stephen Borland-Rapid Bay Sires,,1189 Island Road,Ormstown,QC,J0S 1K0 CANADA,"450.829.2596, Fax:450.829.4147",Assigned 08/18/2008; End Date 05/21/2009,
513,Trans-America Genetics by ST,STgenetics,4865 Blvd. Laurier Ouest,Saint-Hyacinthe,QC,J2S 3V4 CANADA,"450.771.6444, Fax: 450.771.1397",Assigned 08/19/2008; Reactivated 2/24/2012,
514,Accelerated Genetics,Select Sires,E10890 Penny Lane,Baraboo,WI,53913-9408,"608.356.8357, Fax:608.356.4387",Assigned 06/12/2006,Designated for Sexed Semen
515,A.I. Total B.V.,,Bremmeierstraat 8,Wijhe,,"9131 PK, THE NETHERLANDS",31 570 589 911,Assigned 05/19/2010,
516,"Global Ag Alliance, Inc.","Global Ag Alliance, Inc.",P.O. Box 6695,Visalia,CA,93290,559.730.6629,Assigned 09/25/2007,Formerly Sierra Desert Breeders
517,The Semex Alliance,Semex Alliance,5653 Highway 6 North,Guelph,ON,N1H 6J2 CANADA,519.821.5060,Assigned 12/12/2007,
518,The Semex Alliance,Semex Alliance,5653 Highway 6 North,Guelph,ON,N1H 6J2 CANADA,519.821.5060,Assigned 12/12/2007,
519,The Semex Alliance,Semex Alliance,5653 Highway 6 North,Guelph,ON,N1H 6J2 CANADA,519.821.5060,Assigned 12/12/2007,
520,"GeneSource, LLP",,E9784 Buckhorn Road,Reedsburg,WI,53959,"608.434.2232, Fax:608.234.5961",Assigned 07/21/2009; End Date 12/23/2011,
521,"GENEX Cooperative, Inc.",,P.O. Box 469,Shawano,WI,54166,"715.526.2141, Fax:715.526.3219",Assigned 05/28/2019,Designated for Sexed Semen
522,Cogent Breeding Ltd.,,"Heywood House, Chowley Oak Business Park","Chester, Cheshire",,CH3 9GA UNITED KINGDOM,44 1829 773 402,Assigned 10/31/2017,Designated for Sexed Semen; Formerly ST/TWG; formerly ST for NE
523,Sexing Technologies-Texas,STgenetics,22575 SH6 South,Navasota,TX,77803,"936.870.3960, Fax:936.870.3963",Assigned 05/11/2009,Designated for Sexed Semen
524,German Genetics International (GGI)-Spermex,German Genetics International (GGI),Am Osterfeld 14,Cloppenburg-Bethen,,49661 GERMANY,"49 4471 9174 0, Fax:49 4471 9174 74",Assigned 04/04/2011,Designated for Sexed Semen
525,Triple-Hil Sires,,22046 Old Forge Rd.,Smithsburg,MD,21783,855.955.2100,Assigned 06/21/2011,
526,Zooservis a.s.,,Mala Bystrice 158,Valasska Bystrice,,75627 CZECH REPUBLIC,420602369565,Assigned 10/18/2011,
527,Select Sires AG,Select Sires,E10890 Penny Lane,Baraboo,WI,53913-9408,"608.356.8357, Fax:608.356.4387",Assigned 01/04/2012,Designated for Sexed Semen
528,Viking Genetics,Viking Genetics,PO Box 64,SE 532 21 Skara,,SWEDEN,"46 511 267 00, Fax:46 511 267 07",Assigned 3/30/2011,Designated for Sexed Semen
529,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 12/02/2005,Designated for Sexed Semen
530,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 06/05/2007,
531,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 06/05/2007,
532,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 06/05/2007,
533,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 06/05/2007,
534,Jetstream Genetics,Jetstream Genetics,P.O. Box 437/N8452 Airport Road,Watertown,WI,53094,"920.206.4532, Fax:920.262.8022",Assigned 02/17/2012,
535,Faria Brothers Genetics,,5601 FM 281,Dumas,TX,79029,"806.930.1240, Fax:806.966.3695",Assigned 05/15/2012,
536,"Shore Genetics, Inc.",,865 Poplar School Road,Centreville,MD,21617,"410.758.0982, Fax:410.758.2740",Assigned 11/21/2005,
537,Sexing Technologies,STgenetics,22575 SH 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 06/21/2012,
538,"Inner Mongolia Saikexing Reproductive Biotechnologies Co., Ltd.",,"6F, Mengniu R&D Center,Shengle Economic Zone","Helin County, Hohhot, Inner Mongolia",,011517 P.R.CHINA,"+86 (0)471-2524095, Fax: +86 (0)471-7392164",Assigned 03/04/2013,
539,Evolution,Synetics,Rue Eric Tabarly-CS 10040,Noyal Sur Vilaine Cedex,,35538 FRANCE,33 299 879090,Assigned 4/02/2014,Designated for Sexed Semen
540,"Glaz-Way Enterprises, LLC",JLG Enterprises,PO Box 218,Oakdale,CA,95361,"209.886.1130,Fax:209.886.1130",Assigned 11/07/2013,
541,GENEX Dakota Sire Service,Genex,40275 257th Street,Mitchell,SD,57301,"605.996.9100, Fax:605.995.0611",Assigned 08/06/2008,Designated for Sexed Semen
542,"Global Ag Alliance, Inc.","Global Ag Alliance, Inc.",P.O. Box 6695,Visalia,CA,93290,559.730.6629,Assigned 04/14/2014,Formerly Dairybullsonline
543,Inseme,Inseme,Via Cadiane 181,Modena 41126,,ITALY,38 589514697,Assigned 07/15/2014,
544,Geno AI Center,Geno AI Center,Holsetgata 22,Hamar,,2317 NORWAY,47 950 20 600,Assigned 06/03/2005; End date 12/31/2022,Designated for Sexed Semen
545,Dairy Solutionz (NZ) Limited,,P.O. Box 9466,Hamilton,,3240 NEW ZEALAND,"64 78570502, Fax:64 8570501",Assigned 05/03/2017; End Date 06/01/2017,Designated for Sexed Semen
546,North Florida Holsteins,North Florida Holsteins,2740 West County Road 232,Bell,FL,32619,"352.463.7174, Fax:352.463.1106",Assigned 10/12/2017,Designated for Sexed Semen
547,GENEX Custom Collection Services Baton Rouge,Genex,2288 Gourrier Avenue,Baton Rouge,LA,70820,"225.578.3292, Fax:225.578.3235",Assigned 08/21/2007; End Date 10/21/2015,Designated for Sexed Semen
548,GENEX Custom Collection Services Alabama,Genex,200 Valhalla SE,Fort Payne,AL,35967,"256.845.2530, Fax:256.845.7201",Assigned 08/21/2007; End Date 10/21/2015,Designated for Sexed Semen
549,GENEX Cooperative/CRI,Genex,100 MBC Drive/P.O. Box 469,Shawano,WI,54166,"715.526.2141, Fax:715.526.3219",Assigned 12/12/2007,Designated for Sexed Semen
550,Select Sires - Genervations,Select Sires,Highway 501 South/P.O. Box 2559,Cardston,AB,T0K 0K0 CANADA,"403.653.4438, Fax:403.653.3700",Assigned 10/13/2006,"Designated for Sexed Semen; Formerly known as Sire Lodge, Inc."
551,Sexing Technologies-TWG,STgenetics,W7652 Hwy 151 South,Fond du Lac,WI,54937,"920.921.6029, Fax:920.921.5850",Assigned 05/06/2008,Designated for Sexed Semen
552,"TAG-Sexing Technologies, ULC",STgenetics,4865 Blvd. Laurier Ouest,Saint-Hyacinthe,QC,J2S 3V4 CANADA,"450.771.6444, Fax: 450.771.1397",Assigned 06/05/2015,Designated for Sexed Semen
553,A.I. Total,,Trawlerweg 19,Zwolle,,"8042 PZ, THE NETHERLANDS",31 384 606922,Assigned 05/9/2018,Designated for Sexed Semen
554,Hawkeye Breeders Service,Hawkeye Breeders,32642 Old Portland Road,Adel,IA,50003,"515.993.4711, Fax:515.993.4176",Assigned 11/18/2014,Designated for Sexed Semen
555,"Flatness International, Inc.",,104 Stony Mountain Road,Tunkhannock,PA,18657,"570.836.3527, Fax:570.836.1549",Assigned 07/14/2006,
556,Belgian Blue Group SCRL,,Chemin du Tersoit 32,Ciney,,5590 BELGIUM,"32(0)83 68 70 68, Fax:32(0)83 68 70 69",Assigned 12/27/2018,Designated for Sexed Semen
557,"Select Sires, Inc.",Select Sires,11740 US Highway 42 North,Plain City,OH,43064,"614.873.4683, Fax:614.733.3496",Assigned 05/01/2017,Designated for Sexed Semen
558,GenoSource Genetics,,2188 78th Street,Blairstown,IA,52209,319.350.1426,Assigned 04/05/2019,Designated for Sexed Semen
559,Select Sires - Genervations,Select Sires,"Hwy. 501 S, P.O. Box 2559",Cardston,Alberta,T0K 0K0 CANADA,"403.653.4438,Fax:403.653.3700",Assigned 01/25/2017,Designated for Sexed Semen
560,Top Notch Genetics,,102 Fox Road,Lebanon,PA,17042,717.222.6140,Assigned 05/06/2019,Designated for Sexed Semen
561,Viking Genetics,Viking Genetics,"Ebeltoftvej 16, Assentoft",Randers SOE,,8960 DENMARK,4520293233,Assigned 12/10/2019,Designated for Sexed Semen
562,Validity Genetic Testing,,P.O. Box 587,Rockwood,ON,N0B 2K0 CANADA,905.866.7800,Assigned 02/05/2020,Designated for Sexed Semen; Formerly known as Vogue Sires
563,RuAnn Genetics,,12863 Kamm Avenue,Riverdale,CA,93656,559.866.5308,Assigned 11/06/2020,Designated for Sexed Semen
564,ProGentus,,2938 380th Street,Sioux Center,IA,51250,712.722.3586,Assigned 09/24/2019,Designated for Sexed Semen
565,"Rock LJ, Inc.",,133 NE Highway 99 W,McMinnville,OR,97128,971.237.1581,Assigned 03/29/2021,Designated for Sexed Semen
566,International Protein Sires,International Protein Sires,304 W. Broadway - PO Box 157,Rock Springs,WI,53961,"608.524.8086, Fax:608.524.6935",Assigned 07/23/2012,
567,"Shanghai Dairy Breeding Center Co., Ltd.",,"10th Building, 1518 West JiangChang Road",Shanghai,,200436 CHINA,"(86)21-56481688-8206, Fax:(86)21-56488068",Assigned 05/23/2017,Designated for Sexed Semen
568,Masterrind GmbH,,Osterkrug 20,"Verden, Lower Saxony",,27283 GERMANY,"(49)42316790, Fax:(49)4231679780",Assigned 06/29/2021,Designated for Sexed Semen
569,Bullseye Genetics GmbH,,Lutke Berg 2,"Altenberge, North Rhine Westphalia",,DE-48341 GERMANY,(49)25059392222,Assigned 08/23/2021,Designated for Sexed Semen
570,"ORIgen,",,10 West Arrow Creek Road,Huntley,MT,59037,406.348.2345,Assigned 10/09/2020,Designated for Sexed Semen;
571,"Intergen Rus, LLC",,Yagodnaya str. 3Aa,"Polessky district, Near Village",Kalinlingrad Region 238642,RUSSIA,7 906 216 3900,Assigned 11/19/2021,Designated for Sexed Semen
574,Semex Alliance,Semex Alliance,5653 Highway 6 North,Guelph,ON,N1H 6J2 CANADA,519.821.5060,Assigned 05/01/2017,Designated for Sexed Semen
575,Semex Alliance,Semex Alliance,5653 Highway 6 North,Guelph,ON,N1H 6J2 CANADA,519.821.5060,Assigned 05/01/2017,Designated for Sexed Semen
576,"Taurus Service, Inc.",STgenetics,"125 Taurus Lane, P.O. Box 164",Mehoopany,PA,18629,"570.833.5123, Fax:570.833.2690",Assigned 02/06/2008,Designated for Sexed Semen
577,Black Silver Bovine Technology,,86 rang de la Riviere Sud,St-Esprit,QC,J0K 2L0,450.898.7199,Assigned 05/27/2020,Designated for Sexed Semen
578,"605 Sires, LLC",STgenetics,27666 443rd Avenue,Marion,SD,57043,605.925.7473,Assigned 03/02/2022,Designated for Sexed Semen
579,"Select Sires, Inc.",Select Sires,11740 U.S. 42 North,Plain City,OH,43064,"614.873.4683, Fax:614.873.5751",Assigned 07/10/2019,Designated for Sexed Semen
580,HeBei Pin Yuan Biotechnology Co.,,Shany Fan 7own,Shijiazhuang,HeBei,CHINA,818947120075,Assigned 06/17/2022,Designated for Sexed Semen
581,"Alta Genetics, Inc.",Alta Genetics,1-263090 Range Road 11,Rocky View,AB,T4B2T3 CANADA,403.226.0666,Assigned 03/30/2018,Designated for Sexed Semen
582,Genes Diffusion,,P O Box 930457,Verona,WI,53593,608.848.8861,Assigned 09/02/2020,Designated for Sexed Semen
584,"Alta Genetics, Inc.",Alta Genetics,1-263090 Range Road 11,Rocky View County,AB,T4B 2T3 CANADA,403.226.0666,Assigned 03/29/2023,Designated for Sexed Semen
585,Select Sires Inc.,Select Sires,P O Box 143,Plain City,OH,43064,614.873.4683,Assigned 09/09/2020,Designated for Sexed Semen; Formerly assigned to Accelerated Genetics(End date 01/26/2017)
586,STgenetics Canada ULC,STgenetics,"7970 Perth Road 147, Route 4",Listowel,ON,N4W 3G9 CANADA,"519.291.9916, Fax:519.291.3532",Assigned 10/31/2017,Formerly known as Cogent Canada Corp; Designated for Sexed Semen
587,Total Livestock Genetics Victoria Pty Ltd,"Total Livestock Genetics, Pty Ltd.",PO Box 105 (4969 Princes Hwy),Camperdown,Victoria,3260 AUSTRALIA,"03 5593 2016, Fax: 03 5593 2630",Assigned 01/20/2015,Designated for Sexed Semen
590,GENEX Cooperative/Hawkeye-West,Genex,3800 Duck Creek Road,Billings,MT,59101,"406.656.9034, Fax:406.656.9870",Assigned 12/12/2007,Designated for Sexed Semen
593,"Alta Genetics USA, Inc.",Alta Genetics,"P.O. Box 437, N8452 Airport Road",Watertown,WI,53094,"920.206.4532, Fax:920.262.8022",Assigned 06/10/2019,Designated for Sexed Semen
594,ABS Global,ABS Global,"P.O. Box 459, 1525 River Road",Deforest,WI,53532,"608.846.3721, Fax:608.846.6444 or 6446",Assigned 002/14/2008,Formerly named St. Jacobs ABC; Designated for Sexed Semen
597,CRV Holding,CRV Holding,2423 American Lane,Madison,WI,53704,"608.441.3202, Fax:608.441.3203",Assigned 08/08/2011,Designated for Sexed Semen
598,INTERMIZOO S.p.a.,,"Via Po, 21",Padova,,35135 ITALY,39 49 8724757,Assigned 10/18/2018,Designated for Sexed Semen
599,"Blondin Sires, Inc.","Blondin Sires, Inc.",620 Rang St. Vincent,St. Placide,QC,J0V 2B0 CANADA,450.258.2904,Assigned 05/02/2018,Designated for Sexed Semen
600,"Ag-Link International, Inc.",,301 Harvey Lane,Tunkhannock,PA,18657,"570.836.6593, Fax:570.836-6604",Assigned 09/24/2013; End Date 05/16/2018,
601,GENEX Cooperative/CRI,Genex,100 MBC Drive/PO Box 469,Shawano,WI,54166,"714.526.21414, Fax:714.526.3219",Assigned 08/05/2015,Designated for Sexed Semen
602,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 10/08/2015,
603,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 10/08/2015,
604,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 10/08/2015,
605,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 10/08/2015,
606,Diamond Genetics,,Bremmeierstraat 8,Wijhe,9131 PK,NETHERLANDS,+31 570 589 900,Assigned 10/14/2015,
607,Toro Orange,,Enmes nada No 55,Cenero,Gijon,33392 SPAIN,+34 985 266676,Assigned 10/14/2015,
608,GAP Trade and Services,,"via Prada, 2/C, Cenate Sotto (BG)",Bergamo,,24069 ITALY,39 035 4258368,Assigned 10/22/2015,
611,Alta Genetics - USA,Alta Genetics,PO Box 437 - N8452 Airport Road,Watertown,WI,53094,"920.206.4532, Fax:920.262.8022",Assigned 02/07/2012,Designated for Sexed Semen
612,"Holstein Services, Inc.",,1 Holstein Place,Brattleboro,VT,05302-0808,802.254.4551,Assigned 01/14/2021,Designated for Sexed Semen
614,Accelerated Genetics,Select Sires,E10890 Penny Lane,Baraboo,WI,53913,"608.356.8357, Fax:608.356.4387",Assigned 02/27/2008,Designated for Sexed Semen
620,Wulf Cattle,,46206 470th Street,Morris,MN,56267,320.392.5609,Assigned 03/30/2021,Designated for Sexed Semen
621,"GENEX Cooperative, Inc.",Genex,P.O. Box 469,Shawano,WI,54166,"715.526.2141, Fax:715.526.3219",Assigned 09/13/2019,Designated for Sexed Semen
622,DMV GenetiQ Services,,"162, Chemin Yamaska","St-Germain-de-Gran, QC",J0C 1K0,CANADA,819.314.8311,Assigned 07/28/2021,Designated for Sexed Semen
624,German Genetics International (GGI)-Spermex,German Genetics International (GGI),Am Osterfeld 14,Cloppenburg-Bethen,,49661 GERMANY,"49 4471 9174 0, Fax:49 4471 9174 74",Assigned 04/04/2011,
629,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 10/21/2014,Designated for Sexed Semen
630,Sexing Technologies,STgenetics,22575 SH 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 10/15/2013,
631,Sexing Technologies,STgenetics,22575 SH 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 10/15/2013,
632,Sexing Technologies,STgenetics,22575 SH 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 10/15/2013,
633,Sexing Technologies,STgenetics,22575 SH 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 10/15/2013,
634,Jetstream Genetics,Jetstream Genetics,P.O. Box 437/N8452 Airport Road,Watertown,WI,53094,"920.206.4532, Fax:920.262.8022",Assigned 06/16/2017,Formerly assigned to Sexing Technologies R&D 10/15/2013-released 6/16/17; Designated for Sexed Semen
635,Sexing Technologies,STgenetics,22575 SH 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 10/15/2013,
636,Sexing Technologies,STgenetics,22575 SH 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 10/15/2013,
637,Sexing Technologies,STgenetics,22575 SH 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 10/15/2013,
638,Sexing Technologies,STgenetics,22575 SH 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 10/15/2013,
639,Sexing Technologies,STgenetics,22575 SH 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 10/15/2013,
643,Inseme,Inseme,Via Cadiane 179,Saliceta S. Giuliano 41126,,ITALY,39 059514611,Assigned 08/09/2018,Designated for Sexed Semen
651,Inguran LLC dba STgenetics,STgenetics,22575 SH 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 10/04/2022,Designated for Sexed Semen
652,Geno,,Storhamargata 44,2317 Hamar,,NORWAY,4795020600,Assigned 03/06/2018,Designated for Sexed Semen
654,Hawkeye Breeders Service,Hawkeye Breeders,32642 Old Portland Road,Adel,IA,50003,"515.993.4711, Fax:515.993.4176",Assigned 03/01/2022,Designated for Sexed Semen
662,Cogent Breeding Ltd.,,"Beachin Stud, Lea Lane",Aldfordm Cheshire,,CH3 6JQ UNITED KINGDOM,01829 733489,Assigned 12/20/2022,Designated for Sexed Semen
664,Jetstream Genetics,Jetstream Genetics,P.O. Box 437/N8452 Airport Road,Watertown,WI,53094,608.770.0012,Assigned 04/23/2018,Designated for Sexed Semen
666,International Protien Sires,,"PO Box 157, 304 W. Broadway",Rock Springs,WI,53961,608.524.8086 Fax:608.524.6935,Assigned 12/10/2014,Designated for Sexed Semen
670,Grimmius Cattle Company,,5715 Kansas Avenue,Hanford,CA,93230,559.585.8760,Assigned 03/19/2021,Designated for Sexed Semen
676,Inguran LLC dba STgenetics,STgenetics,22575 SH 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 10/04/2022,Designated for Sexed Semen
679,Great Lakes Sire Service,,723 Himebaugh Road,Bronson,MI,49028,"269.489.9888, Fax:269.489.5658",Assigned 04/20/2021,Designated for Sexed Semen
681,"Alta Genetics, Inc.",Alta Genetics,1-263090 Range Road 11,Rocky View,AB,T4B2T3 CANADA,403.226.0666,Assigned 03/30/2018,Designated for Sexed Semen
684,"Alta Genetics, Inc.",Alta Genetics,1-263090 Range Road 11,Rocky View County,AB,T4B 2T3 CANADA,403.226.0666,Assigned 03/29/2023,Designated for Sexed Semen
688,ASCOL,,Centro de Seleccion Carbainos S/N,"Cenero-Gijon, Asturias",,33392 SPAIN,34 985266676; Fax: 34 985266869,Assigned 6/25/2018,Designated for Sexed Semen
689,"Select Sires, Inc.",Select Sires,11740 U.S. 42 North,Plain City,OH,43064,614.406.9697,Assigned 04/25/2022,Designated for Sexed Semen
690,Livestock Improvement Corporation,,CNR Ruakura/Morrisville Roads-Private Bag 3016,Hamilton,,3240 - NEW ZEALAND,6478560700,Assigned 11/13/2020,Designated for Sexed Semen
694,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 10/21/2014,Designated for Sexed Semen
697,CRV USA,CRV Holding,"2418 Crossroads Drive, Suite 2300",Madison,WI,53718,608.441.3202,Assigned 11/24/2021,Designated for Sexed Semen
699,"Alta Genetics USA, Inc.",Alta Genetics,"P.O. Box 437, N8452 Airport Road",Watertown,WI,53094,"920.261.5065, Fax:920.262.8022",Assigned 10/06/2020,Designated for Sexed Semen
700,Grimmius Cattle Company,,5715 Kansas Avenue,Hanford,CA,93230,559.410.2930 Fax:866.820.8227,Assigned 04/24/2018,
702,Belgian Blue Group SCRL,,Chemin du Tersoit 32,Ciney,,5590,+32(0)83 68 70 68 Fax:+32(0)83 68 70 69,Assigned 6/15/2016,
703,A Legacy Genetics,,285 Goodwater Road,Haworth,OK,74740,580.612.1117,Assigned 6/25/2016,
704,"Leachman Cattle of Colorado, LLC",,2056 West CR 70,Fort Collins,CO,80524,970.568.3983,Assigned 12/8/2017,
705,Top Notch Genetics,,102 Fox Road,Lebanon,PA,17042,717.222.6140,Assigned 03/20/2018; End Date 07/31/2021,
706,Genesis Genetics-MX,,7880 East 100 North,Angola,IN,46703,260.402.4494,Assigned 07/06/2018,
708,"El Toro Sires, Inc.",,41925 Yorba Avenue,Temecula,CA,92592,951.333.1260,Assigned 06/20/2018,
709,Swissgenetics,,"Meielenfeldweg 12, Postfach",Zollikofen,BE,3052 SWITZERLAND,41-31-910 62 62; fax: 41-31-910 62 66,Assigned 10/19/2018; End date: 03/07/2023,
710,Holstein Forum Rinderzucht GmbH,,Walingen 36b,Havixbeck,NRW,48329 GERMANY,49(0)2507 5732222,Assigned 09/14/2018,
712,"Holstein Services, Inc.",,1 Holstein Place,Brattleboro,VT,05302-0808,802.254.4551,Assigned 02/22/2019,
713,Fefricale,,"C/Jose Belinchon Garcia, 3 Bajo",Leon,,24121 SPAIN,34 987252127,Assigned 06/24/2019,
